"Naravno gibanje po: STATISTIÈNA REGIJA, LETO , MERITVE"

" ";"1995";" ";" ";" ";"1996";" ";" ";" ";"1997";" ";" ";" ";"1998";" ";" ";" ";"1999";" ";" ";" ";"2000";" ";" ";" ";"2001";" ";" ";" ";"2002";" ";" ";" ";"2003";" ";" ";" ";"2004";" ";" ";" ";"2005";" ";" ";" ";"2006";" ";" ";" ";"2007";" ";" ";" ";"2008";" ";" ";" ";"2009";" ";" ";" ";"2010";" ";" ";" ";"2011";" ";" ";" ";"2012";" ";" ";" ";"2013";" ";" ";" ";"2014";" ";" ";" ";"2015";" ";" ";" ";"2016";" ";" ";" ";"2017";" ";" ";" "
" ";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske"
"SLOVENIJA";9741;9239;9630;9338;9710;9078;9498;9122;9323;8842;9649;9279;9256;8600;9726;9313;9049;8484;9671;9214;9368;8812;9557;9031;9064;8413;9654;8854;9025;8476;9696;9005;8930;8391;10075;9376;9101;8860;9479;9044;9355;8802;9413;9412;9762;9170;9270;8910;10152;9671;9473;9111;11126;10691;9174;9134;11309;10547;9293;9457;11504;10839;9292;9317;11248;10699;9235;9464;11319;10619;9412;9845;10804;10307;9555;9779;10928;10237;9208;9678;10606;10035;9739;10095;10366;9979;9673;10016;10483;9758;10136;10373
"Pomurska";590;621;831;755;608;575;757;765;541;581;737;725;528;523;753;720;531;487;754;739;551;524;749;656;514;501;766;683;487;470;711;718;510;534;816;693;511;520;702;680;466;513;724;698;492;478;670;648;516;481;658;680;502;556;658;679;588;527;676;701;544;501;621;697;548;499;675;736;547;500;613;722;526;500;662;704;530;479;679;689;515;488;644;709;482;468;659;702;555;498;665;711
"Podravska";1500;1400;1617;1612;1539;1443;1671;1561;1361;1293;1673;1651;1370;1288;1636;1597;1300;1250;1678;1559;1378;1273;1682;1592;1390;1219;1566;1563;1369;1278;1601;1512;1357;1271;1721;1607;1312;1248;1611;1557;1367;1323;1631;1637;1350;1335;1618;1588;1364;1302;1671;1534;1546;1511;1590;1571;1544;1485;1569;1557;1626;1496;1573;1592;1524;1487;1664;1611;1573;1452;1559;1648;1519;1405;1677;1681;1564;1448;1541;1590;1514;1402;1662;1814;1513;1427;1654;1744;1504;1372;1777;1767
"Koroška";360;378;357;317;388;341;328;338;345;350;321;318;382;365;349;280;321;340;327;299;377;358;332;306;323;308;342;293;345;322;334;320;295;349;367;312;339;345;363;317;326;277;371;330;331;341;367;308;353;329;339;313;395;392;367;314;412;380;361;309;357;344;338;314;360;353;385;353;369;357;337;335;348;330;358;335;364;354;323;337;332;330;361;340;331;355;390;341;353;359;345;344
"Savinjska";1292;1205;1258;1178;1285;1225;1224;1183;1223;1205;1294;1212;1311;1126;1283;1235;1299;1149;1238;1170;1188;1185;1196;1182;1221;1088;1263;1144;1195;1121;1323;1232;1143;1114;1387;1211;1151;1183;1257;1206;1267;1108;1154;1195;1305;1134;1187;1157;1247;1301;1187;1112;1441;1336;1179;1186;1427;1320;1210;1215;1439;1393;1221;1192;1388;1380;1128;1239;1427;1341;1268;1296;1310;1355;1185;1277;1396;1287;1156;1264;1323;1232;1290;1231;1248;1285;1233;1243;1239;1186;1332;1311
"Zasavska";207;216;271;267;196;163;253;255;199;190;250;257;177;198;262;233;185;176;239;270;203;158;273;250;185;177;258;256;200;168;291;222;169;163;250;227;186;175;246;250;184;164;292;244;202;185;217;242;231;218;230;213;240;188;240;225;241;223;220;231;219;195;237;247;221;204;240;262;229;177;225;255;214;195;256;259;198;211;248;252;294;253;298;310;307;269;301;318;285;287;303;334
"Posavska";365;295;416;403;326;335;408;374;361;322;404;418;286;303;416;398;325;305;428;426;330;301;405;367;319;308;414;362;345;300;412;356;323;260;402;351;293;312;404;358;280;300;372;348;318;338;373;375;303;284;403;373;348;343;390;346;341;318;374;389;360;363;416;380;359;363;336;420;359;363;396;416;355;354;391;388;387;320;371;400;399;394;389;446;378;349;449;411;412;365;405;407
"Jugovzhodna Slovenija";757;743;492;549;701;668;497;455;741;658;462;486;683;691;514;512;659;640;661;641;685;673;661;602;686;707;734;611;694;607;711;604;656;625;714;640;652;643;646;625;692;626;681;635;718;693;655;559;737;762;714;660;849;735;616;621;795;729;685;690;853;802;640;657;852;789;663;654;814;818;707;651;836;732;676;678;866;766;687;661;786;765;690;735;843;743;660;731;765;802;731;733
"Osrednjeslovenska";2451;2330;2153;2136;2385;2211;2168;2171;2408;2175;2262;2068;2400;2095;2172;2197;2316;2089;2090;1998;2414;2321;2013;1994;2243;2137;2052;1883;2340;2181;2037;1926;2330;2160;2077;2133;2468;2281;2087;1964;2526;2413;1981;2145;2768;2466;2007;2034;2894;2676;1986;2035;3161;3073;1975;2008;3237;2989;1952;2109;3303;3110;2019;2061;3258;3022;2002;2071;3232;3090;2049;2240;3063;2941;2051;2196;3085;2937;2012;2150;2953;2792;2094;2176;2830;2763;2010;2145;2903;2737;2183;2321
