"Prebivalstvo po: STATISTI»NA REGIJA, LETO, STAROST , SPOL"

" ";" ";" ";"Spol - SKUPAJ"
"SLOVENIJA"
" ";"1995"
" ";" ";"0-14 let";368578
" ";" ";"15-64 let";1380754
" ";" ";"65 + let";240145
" ";"1996"
" ";" ";"0-14 let";360472
" ";" ";"15-64 let";1380748
" ";" ";"65 + let";249046
" ";"1997"
" ";" ";"0-14 let";348392
" ";" ";"15-64 let";1383189
" ";" ";"65 + let";255408
" ";"1998"
" ";" ";"0-14 let";338068
" ";" ";"15-64 let";1384429
" ";" ";"65 + let";262426
" ";"1999"
" ";" ";"0-14 let";328629
" ";" ";"15-64 let";1381118
" ";" ";"65 + let";268587
" ";"2000"
" ";" ";"0-14 let";320374
" ";" ";"15-64 let";1391981
" ";" ";"65 + let";275400
" ";"2001"
" ";" ";"0-14 let";313406
" ";" ";"15-64 let";1395282
" ";" ";"65 + let";281406
" ";"2002"
" ";" ";"0-14 let";306721
" ";" ";"15-64 let";1398757
" ";" ";"65 + let";288548
" ";"2003"
" ";" ";"0-14 let";299119
" ";" ";"15-64 let";1401260
" ";" ";"65 + let";294654
" ";"2004"
" ";" ";"0-14 let";291510
" ";" ";"15-64 let";1404768
" ";" ";"65 + let";300155
" ";"2005"
" ";" ";"0-14 let";286678
" ";" ";"15-64 let";1404428
" ";" ";"65 + let";306484
" ";"2006"
" ";" ";"0-14 let";283221
" ";" ";"15-64 let";1407263
" ";" ";"65 + let";312874
" ";"2007"
" ";" ";"0-14 let";281079
" ";" ";"15-64 let";1409667
" ";" ";"65 + let";319631
" ";"2008"
" ";" ";"0-14 let";281081
" ";" ";"15-64 let";1417938
" ";" ";"65 + let";326847
" ";"2009"
" ";" ";"0-14 let";284054
" ";" ";"15-64 let";1414279
" ";" ";"65 + let";334029
" ";"2010"
" ";" ";"0-14 let";287275
" ";" ";"15-64 let";1421436
" ";" ";"65 + let";338265
" ";"2011"
" ";" ";"0-14 let";290853
" ";" ";"15-64 let";1420392
" ";" ";"65 + let";338944
" ";"2012"
" ";" ";"0-14 let";294149
" ";" ";"15-64 let";1416347
" ";" ";"65 + let";345000
" ";"2013"
" ";" ";"0-14 let";298095
" ";" ";"15-64 let";1408581
" ";" ";"65 + let";352145
" ";"2014"
" ";" ";"0-14 let";301053
" ";" ";"15-64 let";1399926
" ";" ";"65 + let";360106
" ";"2015"
" ";" ";"0-14 let";304310
" ";" ";"15-64 let";1389178
" ";" ";"65 + let";369386
" ";"2016"
" ";" ";"0-14 let";306390
" ";" ";"15-64 let";1377696
" ";" ";"65 + let";380102
" ";"2017"
" ";" ";"0-14 let";308594
" ";" ";"15-64 let";1366875
" ";" ";"65 + let";390426
"Pomurska"
" ";"1995"
" ";" ";"0-14 let";23005
" ";" ";"15-64 let";89073
" ";" ";"65 + let";17789
" ";"1996"
" ";" ";"0-14 let";22238
" ";" ";"15-64 let";86575
" ";" ";"65 + let";17859
" ";"1997"
" ";" ";"0-14 let";21504
" ";" ";"15-64 let";86753
" ";" ";"65 + let";17967
" ";"1998"
" ";" ";"0-14 let";20739
" ";" ";"15-64 let";86769
" ";" ";"65 + let";18214
" ";"1999"
" ";" ";"0-14 let";20048
" ";" ";"15-64 let";86846
" ";" ";"65 + let";18363
" ";"2000"
" ";" ";"0-14 let";19411
" ";" ";"15-64 let";87076
" ";" ";"65 + let";18482
" ";"2001"
" ";" ";"0-14 let";18786
" ";" ";"15-64 let";86974
" ";" ";"65 + let";18569
" ";"2002"
" ";" ";"0-14 let";18298
" ";" ";"15-64 let";86920
" ";" ";"65 + let";18730
" ";"2003"
" ";" ";"0-14 let";17722
" ";" ";"15-64 let";87028
" ";" ";"65 + let";18800
" ";"2004"
" ";" ";"0-14 let";17279
" ";" ";"15-64 let";86999
" ";" ";"65 + let";18795
" ";"2005"
" ";" ";"0-14 let";16906
" ";" ";"15-64 let";86899
" ";" ";"65 + let";18912
" ";"2006"
" ";" ";"0-14 let";16585
" ";" ";"15-64 let";86801
" ";" ";"65 + let";19067
" ";"2007"
" ";" ";"0-14 let";16290
" ";" ";"15-64 let";86432
" ";" ";"65 + let";19346
" ";"2008"
" ";" ";"0-14 let";15998
" ";" ";"15-64 let";86151
" ";" ";"65 + let";19675
" ";"2009"
" ";" ";"0-14 let";15861
" ";" ";"15-64 let";83347
" ";" ";"65 + let";20329
" ";"2010"
" ";" ";"0-14 let";15838
" ";" ";"15-64 let";82985
" ";" ";"65 + let";20725
" ";"2011"
" ";" ";"0-14 let";15676
" ";" ";"15-64 let";82622
" ";" ";"65 + let";20847
" ";"2012"
" ";" ";"0-14 let";15529
" ";" ";"15-64 let";82361
" ";" ";"65 + let";21098
" ";"2013"
" ";" ";"0-14 let";15443
" ";" ";"15-64 let";81117
" ";" ";"65 + let";21462
" ";"2014"
" ";" ";"0-14 let";15398
" ";" ";"15-64 let";79845
" ";" ";"65 + let";21890
" ";"2015"
" ";" ";"0-14 let";15373
" ";" ";"15-64 let";78834
" ";" ";"65 + let";22463
" ";"2016"
" ";" ";"0-14 let";15294
" ";" ";"15-64 let";77664
" ";" ";"65 + let";23120
" ";"2017"
" ";" ";"0-14 let";15249
" ";" ";"15-64 let";76376
" ";" ";"65 + let";23852
"Podravska"
" ";"1995"
" ";" ";"0-14 let";56309
" ";" ";"15-64 let";229709
" ";" ";"65 + let";39118
" ";"1996"
" ";" ";"0-14 let";54871
" ";" ";"15-64 let";226025
" ";" ";"65 + let";40182
" ";"1997"
" ";" ";"0-14 let";53210
" ";" ";"15-64 let";225843
" ";" ";"65 + let";41308
" ";"1998"
" ";" ";"0-14 let";51432
" ";" ";"15-64 let";226061
" ";" ";"65 + let";42348
" ";"1999"
" ";" ";"0-14 let";49995
" ";" ";"15-64 let";225748
" ";" ";"65 + let";43529
" ";"2000"
" ";" ";"0-14 let";48487
" ";" ";"15-64 let";226456
" ";" ";"65 + let";44662
" ";"2001"
" ";" ";"0-14 let";47224
" ";" ";"15-64 let";226880
" ";" ";"65 + let";45613
" ";"2002"
" ";" ";"0-14 let";46102
" ";" ";"15-64 let";227071
" ";" ";"65 + let";46905
" ";"2003"
" ";" ";"0-14 let";44953
" ";" ";"15-64 let";226868
" ";" ";"65 + let";47983
" ";"2004"
" ";" ";"0-14 let";43841
" ";" ";"15-64 let";226857
" ";" ";"65 + let";48728
" ";"2005"
" ";" ";"0-14 let";43040
" ";" ";"15-64 let";226477
" ";" ";"65 + let";49597
" ";"2006"
" ";" ";"0-14 let";42464
" ";" ";"15-64 let";226261
" ";" ";"65 + let";50510
" ";"2007"
" ";" ";"0-14 let";41993
" ";" ";"15-64 let";226240
" ";" ";"65 + let";51473
" ";"2008"
" ";" ";"0-14 let";41591
" ";" ";"15-64 let";227058
" ";" ";"65 + let";53132
" ";"2009"
" ";" ";"0-14 let";41809
" ";" ";"15-64 let";226281
" ";" ";"65 + let";54810
" ";"2010"
" ";" ";"0-14 let";41936
" ";" ";"15-64 let";225546
" ";" ";"65 + let";55861
" ";"2011"
" ";" ";"0-14 let";42117
" ";" ";"15-64 let";224845
" ";" ";"65 + let";56157
" ";"2012"
" ";" ";"0-14 let";42205
" ";" ";"15-64 let";224489
" ";" ";"65 + let";56840
" ";"2013"
" ";" ";"0-14 let";42596
" ";" ";"15-64 let";222863
" ";" ";"65 + let";57779
" ";"2014"
" ";" ";"0-14 let";42870
" ";" ";"15-64 let";221525
" ";" ";"65 + let";58933
" ";"2015"
" ";" ";"0-14 let";43387
" ";" ";"15-64 let";219664
" ";" ";"65 + let";60305
" ";"2016"
" ";" ";"0-14 let";43630
" ";" ";"15-64 let";217125
" ";" ";"65 + let";61798
" ";"2017"
" ";" ";"0-14 let";43961
" ";" ";"15-64 let";214777
" ";" ";"65 + let";63305
"Koroška"
" ";"1995"
" ";" ";"0-14 let";14539
" ";" ";"15-64 let";52165
" ";" ";"65 + let";7653
" ";"1996"
" ";" ";"0-14 let";14132
" ";" ";"15-64 let";52086
" ";" ";"65 + let";7948
" ";"1997"
" ";" ";"0-14 let";13633
" ";" ";"15-64 let";52113
" ";" ";"65 + let";8219
" ";"1998"
" ";" ";"0-14 let";13285
" ";" ";"15-64 let";52142
" ";" ";"65 + let";8520
" ";"1999"
" ";" ";"0-14 let";12941
" ";" ";"15-64 let";52218
" ";" ";"65 + let";8788
" ";"2000"
" ";" ";"0-14 let";12597
" ";" ";"15-64 let";52365
" ";" ";"65 + let";9085
" ";"2001"
" ";" ";"0-14 let";12247
" ";" ";"15-64 let";52480
" ";" ";"65 + let";9348
" ";"2002"
" ";" ";"0-14 let";11878
" ";" ";"15-64 let";52561
" ";" ";"65 + let";9588
" ";"2003"
" ";" ";"0-14 let";11486
" ";" ";"15-64 let";52640
" ";" ";"65 + let";9775
" ";"2004"
" ";" ";"0-14 let";11104
" ";" ";"15-64 let";52728
" ";" ";"65 + let";10028
" ";"2005"
" ";" ";"0-14 let";10884
" ";" ";"15-64 let";52692
" ";" ";"65 + let";10263
" ";"2006"
" ";" ";"0-14 let";10609
" ";" ";"15-64 let";52635
" ";" ";"65 + let";10510
" ";"2007"
" ";" ";"0-14 let";10432
" ";" ";"15-64 let";52412
" ";" ";"65 + let";10775
" ";"2008"
" ";" ";"0-14 let";10329
" ";" ";"15-64 let";52353
" ";" ";"65 + let";11032
" ";"2009"
" ";" ";"0-14 let";10304
" ";" ";"15-64 let";50747
" ";" ";"65 + let";11430
" ";"2010"
" ";" ";"0-14 let";10358
" ";" ";"15-64 let";50749
" ";" ";"65 + let";11705
" ";"2011"
" ";" ";"0-14 let";10299
" ";" ";"15-64 let";50399
" ";" ";"65 + let";11796
" ";"2012"
" ";" ";"0-14 let";10302
" ";" ";"15-64 let";50112
" ";" ";"65 + let";11950
" ";"2013"
" ";" ";"0-14 let";10297
" ";" ";"15-64 let";49608
" ";" ";"65 + let";12195
" ";"2014"
" ";" ";"0-14 let";10186
" ";" ";"15-64 let";48912
" ";" ";"65 + let";12448
" ";"2015"
" ";" ";"0-14 let";10169
" ";" ";"15-64 let";48392
" ";" ";"65 + let";12742
" ";"2016"
" ";" ";"0-14 let";10096
" ";" ";"15-64 let";47868
" ";" ";"65 + let";13076
" ";"2017"
" ";" ";"0-14 let";10136
" ";" ";"15-64 let";47202
" ";" ";"65 + let";13423
"Savinjska"
" ";"1995"
" ";" ";"0-14 let";49512
" ";" ";"15-64 let";179066
" ";" ";"65 + let";29010
" ";"1996"
" ";" ";"0-14 let";48262
" ";" ";"15-64 let";178271
" ";" ";"65 + let";30041
" ";"1997"
