"Selitveno gibanje prebivalstva po: STATISTIÈNA REGIJA, LETO , MERITVE"

"SLOVENIJA"
" ";"1995"
" ";" ";"Selitveni prirast s tujino - Skupaj";1415
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"1996"
" ";" ";"Selitveni prirast s tujino - Skupaj";697
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"1997"
" ";" ";"Selitveni prirast s tujino - Skupaj";286
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"1998"
" ";" ";"Selitveni prirast s tujino - Skupaj";-2105
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"1999"
" ";" ";"Selitveni prirast s tujino - Skupaj";2335
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"2000"
" ";" ";"Selitveni prirast s tujino - Skupaj";2615
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"2001"
" ";" ";"Selitveni prirast s tujino - Skupaj";2992
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"2002"
" ";" ";"Selitveni prirast s tujino - Skupaj";1865
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"2003"
" ";" ";"Selitveni prirast s tujino - Skupaj";3412
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"2004"
" ";" ";"Selitveni prirast s tujino - Skupaj";1902
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"2005"
" ";" ";"Selitveni prirast s tujino - Skupaj";6436
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"2006"
" ";" ";"Selitveni prirast s tujino - Skupaj";6267
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"2007"
" ";" ";"Selitveni prirast s tujino - Skupaj";14250
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"2008"
" ";" ";"Selitveni prirast s tujino - Skupaj";18584
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"2009"
" ";" ";"Selitveni prirast s tujino - Skupaj";11508
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"2010"
" ";" ";"Selitveni prirast s tujino - Skupaj";-521
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"2011"
" ";" ";"Selitveni prirast s tujino - Skupaj";2059
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"2012"
" ";" ";"Selitveni prirast s tujino - Skupaj";644
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"2013"
" ";" ";"Selitveni prirast s tujino - Skupaj";487
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"2014"
" ";" ";"Selitveni prirast s tujino - Skupaj";-490
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";0
" ";"2015"
