"","leto","prebivalstvo_1_januar","<U+017E>ivorojeni","umrli"
"1",1922,1306529,39346,25088
"2",1923,1314182,40710,25003
"3",1924,1323284,40215,23297
"4",1925,1333597,39476,23405
"5",1926,1343063,38267,23307
"6",1927,1351418,37794,23324
"7",1928,1359383,37359,22355
"8",1929,1367682,35201,23189
"9",1930,1373082,38346,20846
"10",1931,1383984,36851,22925
"11",1932,1392466,36832,23849
"12",1933,1402883,34587,22035
"13",1934,1413017,33373,19585
"14",1935,1423451,32433,20590
"15",1936,1431966,32630,20479
"16",1937,1440103,31520,21221
"17",1938,1442980,31199,20392
"18",1939,1445503,31251,19910
"19",1940,1448991,31536,21001
"20",1941,1451673,32456,19812
"21",1942,1452659,30681,22061
"22",1943,1444562,31434,25149
"23",1944,1436468,27379,26609
"24",1945,1423942,20239,28572
"25",1946,1408681,28599,18145
"26",1947,1421631,31312,18708
"27",1948,1436900,31538,17884
"28",1949,1447550,33284,18838
"29",1950,1459622,35992,17335
"30",1951,1474149,34819,18497
"31",1952,1486341,34165,15617
"32",1953,1500759,33754,14948
"33",1954,1515228,31828,14897
"34",1955,1527741,32096,15109
"35",1956,1540255,31466,16351
"36",1957,1550957,30086,14545
"37",1958,1562088,28284,14082
"38",1959,1571873,28429,15357
"39",1960,1580535,27825,15145
"40",1961,1588904,28955,14013
"41",1962,1599357,29035,15866
"42",1963,1607941,29174,15102
"43",1964,1626000,29184,16729
"44",1965,1638227,30587,15987
"45",1966,1660092,30941,15248
"46",1967,1679717,29824,16353
"47",1968,1699339,28580,17446
"48",1969,1709752,27883,18564
"49",1970,1719906,27432,17354
"50",1971,1731787,28278,17425
"51",1972,1744882,28713,18153
"52",1973,1759584,29548,17614
"53",1974,1773809,28625,17206
"54",1975,1790229,29786,18180
"55",1976,1808707,30339,18157
"56",1977,1831790,29904,17633
"57",1978,1852963,30354,18357
"58",1979,1872133,30604,18148
"59",1980,1893064,29902,18820
"60",1981,1909566,29220,18733
"61",1982,1924690,28894,19647
"62",1983,1929292,27200,20703
"63",1984,1937588,26274,20214
"64",1985,1948577,25933,19854
"65",1986,1975273,25570,19499
"66",1987,1985486,25592,19837
"67",1988,1994066,25209,19126
"68",1989,1996325,23447,18669
"69",1990,1996377,22368,18555
"70",1991,1999945,21583,19324
"71",1992,1998912,19982,19333
"72",1993,1994084,19793,20012
"73",1994,1989408,19463,19359
"74",1995,1989477,18980,18968
"75",1996,1990266,18788,18620
"76",1997,1986989,18165,18928
"77",1998,1984923,17856,19039
"78",1999,1978334,17533,18885
"79",2000,1987755,18180,18588
"80",2001,1990094,17477,18508
"81",2002,1994026,17501,18701
"82",2003,1995033,17321,19451
"83",2004,1996433,17961,18523
"84",2005,1997590,18157,18825
"85",2006,2003358,18932,18180
"86",2007,2010377,19823,18584
"87",2008,2025866,21817,18308
"88",2009,2032362,21856,18750
"89",2010,2046976,22343,18609
"90",2011,2050189,21947,18699
"91",2012,2055496,21938,19257
"92",2013,2058821,21111,19334
"93",2014,2061085,21165,18886
"94",2015,2062874,20641,19834
"95",2016,2064188,20345,19689
"96",2017,2065895,20241,20509
