"","regija","leto","starostna skupina","stevilo"
"1","SLOVENIJA",1995,"0-14 let",368578
"2","SLOVENIJA",1995,"15-64 let",1380754
"3","SLOVENIJA",1995,"65 + let",240145
"4","SLOVENIJA",1996,"0-14 let",360472
"5","SLOVENIJA",1996,"15-64 let",1380748
"6","SLOVENIJA",1996,"65 + let",249046
"7","SLOVENIJA",1997,"0-14 let",348392
"8","SLOVENIJA",1997,"15-64 let",1383189
"9","SLOVENIJA",1997,"65 + let",255408
"10","SLOVENIJA",1998,"0-14 let",338068
"11","SLOVENIJA",1998,"15-64 let",1384429
"12","SLOVENIJA",1998,"65 + let",262426
"13","SLOVENIJA",1999,"0-14 let",328629
"14","SLOVENIJA",1999,"15-64 let",1381118
"15","SLOVENIJA",1999,"65 + let",268587
"16","SLOVENIJA",2000,"0-14 let",320374
"17","SLOVENIJA",2000,"15-64 let",1391981
"18","SLOVENIJA",2000,"65 + let",275400
"19","SLOVENIJA",2001,"0-14 let",313406
"20","SLOVENIJA",2001,"15-64 let",1395282
"21","SLOVENIJA",2001,"65 + let",281406
"22","SLOVENIJA",2002,"0-14 let",306721
"23","SLOVENIJA",2002,"15-64 let",1398757
"24","SLOVENIJA",2002,"65 + let",288548
"25","SLOVENIJA",2003,"0-14 let",299119
"26","SLOVENIJA",2003,"15-64 let",1401260
"27","SLOVENIJA",2003,"65 + let",294654
"28","SLOVENIJA",2004,"0-14 let",291510
"29","SLOVENIJA",2004,"15-64 let",1404768
"30","SLOVENIJA",2004,"65 + let",300155
"31","SLOVENIJA",2005,"0-14 let",286678
"32","SLOVENIJA",2005,"15-64 let",1404428
"33","SLOVENIJA",2005,"65 + let",306484
"34","SLOVENIJA",2006,"0-14 let",283221
"35","SLOVENIJA",2006,"15-64 let",1407263
"36","SLOVENIJA",2006,"65 + let",312874
"37","SLOVENIJA",2007,"0-14 let",281079
"38","SLOVENIJA",2007,"15-64 let",1409667
"39","SLOVENIJA",2007,"65 + let",319631
"40","SLOVENIJA",2008,"0-14 let",281081
"41","SLOVENIJA",2008,"15-64 let",1417938
"42","SLOVENIJA",2008,"65 + let",326847
"43","SLOVENIJA",2009,"0-14 let",284054
"44","SLOVENIJA",2009,"15-64 let",1414279
"45","SLOVENIJA",2009,"65 + let",334029
"46","SLOVENIJA",2010,"0-14 let",287275
"47","SLOVENIJA",2010,"15-64 let",1421436
"48","SLOVENIJA",2010,"65 + let",338265
"49","SLOVENIJA",2011,"0-14 let",290853
"50","SLOVENIJA",2011,"15-64 let",1420392
"51","SLOVENIJA",2011,"65 + let",338944
"52","SLOVENIJA",2012,"0-14 let",294149
"53","SLOVENIJA",2012,"15-64 let",1416347
"54","SLOVENIJA",2012,"65 + let",345000
"55","SLOVENIJA",2013,"0-14 let",298095
"56","SLOVENIJA",2013,"15-64 let",1408581
"57","SLOVENIJA",2013,"65 + let",352145
"58","SLOVENIJA",2014,"0-14 let",301053
"59","SLOVENIJA",2014,"15-64 let",1399926
"60","SLOVENIJA",2014,"65 + let",360106
"61","SLOVENIJA",2015,"0-14 let",304310
"62","SLOVENIJA",2015,"15-64 let",1389178
"63","SLOVENIJA",2015,"65 + let",369386
"64","SLOVENIJA",2016,"0-14 let",306390
