"","regija","leto","spol","stevilo"
"1","SLOVENIJA",1995,"Umrli - mo<U+0161>ki",9630
"2","SLOVENIJA",1995,"Umrli - <U+017E>enske",9338
"3","SLOVENIJA",1996,"Umrli - mo<U+0161>ki",9498
"4","SLOVENIJA",1996,"Umrli - <U+017E>enske",9122
"5","SLOVENIJA",1997,"Umrli - mo<U+0161>ki",9649
"6","SLOVENIJA",1997,"Umrli - <U+017E>enske",9279
"7","SLOVENIJA",1998,"Umrli - mo<U+0161>ki",9726
"8","SLOVENIJA",1998,"Umrli - <U+017E>enske",9313
"9","SLOVENIJA",1999,"Umrli - mo<U+0161>ki",9671
"10","SLOVENIJA",1999,"Umrli - <U+017E>enske",9214
"11","SLOVENIJA",2000,"Umrli - mo<U+0161>ki",9557
"12","SLOVENIJA",2000,"Umrli - <U+017E>enske",9031
"13","SLOVENIJA",2001,"Umrli - mo<U+0161>ki",9654
"14","SLOVENIJA",2001,"Umrli - <U+017E>enske",8854
"15","SLOVENIJA",2002,"Umrli - mo<U+0161>ki",9696
"16","SLOVENIJA",2002,"Umrli - <U+017E>enske",9005
"17","SLOVENIJA",2003,"Umrli - mo<U+0161>ki",10075
"18","SLOVENIJA",2003,"Umrli - <U+017E>enske",9376
"19","SLOVENIJA",2004,"Umrli - mo<U+0161>ki",9479
"20","SLOVENIJA",2004,"Umrli - <U+017E>enske",9044
"21","SLOVENIJA",2005,"Umrli - mo<U+0161>ki",9413
"22","SLOVENIJA",2005,"Umrli - <U+017E>enske",9412
"23","SLOVENIJA",2006,"Umrli - mo<U+0161>ki",9270
"24","SLOVENIJA",2006,"Umrli - <U+017E>enske",8910
"25","SLOVENIJA",2007,"Umrli - mo<U+0161>ki",9473
"26","SLOVENIJA",2007,"Umrli - <U+017E>enske",9111
"27","SLOVENIJA",2008,"Umrli - mo<U+0161>ki",9174
"28","SLOVENIJA",2008,"Umrli - <U+017E>enske",9134
"29","SLOVENIJA",2009,"Umrli - mo<U+0161>ki",9293
"30","SLOVENIJA",2009,"Umrli - <U+017E>enske",9457
"31","SLOVENIJA",2010,"Umrli - mo<U+0161>ki",9292
"32","SLOVENIJA",2010,"Umrli - <U+017E>enske",9317
