"","regija","leto","spol","stevilo"
"1","SLOVENIJA",1995,"Živorojeni - moški",9741
"2","SLOVENIJA",1995,"Živorojeni - ženske",9239
"3","SLOVENIJA",1996,"Živorojeni - moški",9710
"4","SLOVENIJA",1996,"Živorojeni - ženske",9078
"5","SLOVENIJA",1997,"Živorojeni - moški",9323
"6","SLOVENIJA",1997,"Živorojeni - ženske",8842
"7","SLOVENIJA",1998,"Živorojeni - moški",9256
"8","SLOVENIJA",1998,"Živorojeni - ženske",8600
"9","SLOVENIJA",1999,"Živorojeni - moški",9049
"10","SLOVENIJA",1999,"Živorojeni - ženske",8484
"11","SLOVENIJA",2000,"Živorojeni - moški",9368
"12","SLOVENIJA",2000,"Živorojeni - ženske",8812
"13","SLOVENIJA",2001,"Živorojeni - moški",9064
"14","SLOVENIJA",2001,"Živorojeni - ženske",8413
"15","SLOVENIJA",2002,"Živorojeni - moški",9025
"16","SLOVENIJA",2002,"Živorojeni - ženske",8476
"17","SLOVENIJA",2003,"Živorojeni - moški",8930
"18","SLOVENIJA",2003,"Živorojeni - ženske",8391
"19","SLOVENIJA",2004,"Živorojeni - moški",9101
"20","SLOVENIJA",2004,"Živorojeni - ženske",8860
"21","SLOVENIJA",2005,"Živorojeni - moški",9355
"22","SLOVENIJA",2005,"Živorojeni - ženske",8802
"23","SLOVENIJA",2006,"Živorojeni - moški",9762
"24","SLOVENIJA",2006,"Živorojeni - ženske",9170
"25","SLOVENIJA",2007,"Živorojeni - moški",10152
"26","SLOVENIJA",2007,"Živorojeni - ženske",9671
"27","SLOVENIJA",2008,"Živorojeni - moški",11126
"28","SLOVENIJA",2008,"Živorojeni - ženske",10691
"29","SLOVENIJA",2009,"Živorojeni - moški",11309
"30","SLOVENIJA",2009,"Živorojeni - ženske",10547
"31","SLOVENIJA",2010,"Živorojeni - moški",11504
"32","SLOVENIJA",2010,"Živorojeni - ženske",10839
"33","SLOVENIJA",2011,"Živorojeni - moški",11248
"34","SLOVENIJA",2011,"Živorojeni - ženske",10699
"35","SLOVENIJA",2012,"Živorojeni - moški",11319
"36","SLOVENIJA",2012,"Živorojeni - ženske",10619
"37","SLOVENIJA",2013,"Živorojeni - moški",10804
"38","SLOVENIJA",2013,"Živorojeni - ženske",10307
"39","SLOVENIJA",2014,"Živorojeni - moški",10928
"40","SLOVENIJA",2014,"Živorojeni - ženske",10237
"41","SLOVENIJA",2015,"Živorojeni - moški",10606
"42","SLOVENIJA",2015,"Živorojeni - ženske",10035
"43","SLOVENIJA",2016,"Živorojeni - moški",10366
"44","SLOVENIJA",2016,"Živorojeni - ženske",9979
"45","SLOVENIJA",2017,"Živorojeni - moški",10483
"46","SLOVENIJA",2017,"Živorojeni - ženske",9758
"47","Pomurska",1995,"Živorojeni - moški",590
"48","Pomurska",1995,"Živorojeni - ženske",621
"49","Pomurska",1996,"Živorojeni - moški",608
"50","Pomurska",1996,"Živorojeni - ženske",575
"51","Pomurska",1997,"Živorojeni - moški",541
"52","Pomurska",1997,"Živorojeni - ženske",581
"53","Pomurska",1998,"Živorojeni - moški",528
"54","Pomurska",1998,"Živorojeni - ženske",523
"55","Pomurska",1999,"Živorojeni - moški",531
"56","Pomurska",1999,"Živorojeni - ženske",487
"57","Pomurska",2000,"Živorojeni - moški",551
"58","Pomurska",2000,"Živorojeni - ženske",524
"59","Pomurska",2001,"Živorojeni - moški",514
"60","Pomurska",2001,"Živorojeni - ženske",501
"61","Pomurska",2002,"Živorojeni - moški",487
"62","Pomurska",2002,"Živorojeni - ženske",470
"63","Pomurska",2003,"Živorojeni - moški",510
"64","Pomurska",2003,"Živorojeni - ženske",534
"65","Pomurska",2004,"Živorojeni - moški",511
"66","Pomurska",2004,"Živorojeni - ženske",520
"67","Pomurska",2005,"Živorojeni - moški",466
"68","Pomurska",2005,"Živorojeni - ženske",513
"69","Pomurska",2006,"Živorojeni - moški",492
"70","Pomurska",2006,"Živorojeni - ženske",478
"71","Pomurska",2007,"Živorojeni - moški",516
"72","Pomurska",2007,"Živorojeni - ženske",481
"73","Pomurska",2008,"Živorojeni - moški",502
"74","Pomurska",2008,"Živorojeni - ženske",556
"75","Pomurska",2009,"Živorojeni - moški",588
"76","Pomurska",2009,"Živorojeni - ženske",527
"77","Pomurska",2010,"Živorojeni - moški",544
"78","Pomurska",2010,"Živorojeni - ženske",501
"79","Pomurska",2011,"Živorojeni - moški",548
"80","Pomurska",2011,"Živorojeni - ženske",499
"81","Pomurska",2012,"Živorojeni - moški",547
"82","Pomurska",2012,"Živorojeni - ženske",500
"83","Pomurska",2013,"Živorojeni - moški",526
"84","Pomurska",2013,"Živorojeni - ženske",500
"85","Pomurska",2014,"Živorojeni - moški",530
"86","Pomurska",2014,"Živorojeni - ženske",479
"87","Pomurska",2015,"Živorojeni - moški",515
"88","Pomurska",2015,"Živorojeni - ženske",488
"89","Pomurska",2016,"Živorojeni - moški",482
"90","Pomurska",2016,"Živorojeni - ženske",468
"91","Pomurska",2017,"Živorojeni - moški",555
"92","Pomurska",2017,"Živorojeni - ženske",498
"93","Podravska",1995,"Živorojeni - moški",1500
"94","Podravska",1995,"Živorojeni - ženske",1400
"95","Podravska",1996,"Živorojeni - moški",1539
"96","Podravska",1996,"Živorojeni - ženske",1443
"97","Podravska",1997,"Živorojeni - moški",1361
"98","Podravska",1997,"Živorojeni - ženske",1293
"99","Podravska",1998,"Živorojeni - moški",1370
"100","Podravska",1998,"Živorojeni - ženske",1288
"101","Podravska",1999,"Živorojeni - moški",1300
"102","Podravska",1999,"Živorojeni - ženske",1250
"103","Podravska",2000,"Živorojeni - moški",1378
"104","Podravska",2000,"Živorojeni - ženske",1273
"105","Podravska",2001,"Živorojeni - moški",1390
"106","Podravska",2001,"Živorojeni - ženske",1219
"107","Podravska",2002,"Živorojeni - moški",1369
"108","Podravska",2002,"Živorojeni - ženske",1278
"109","Podravska",2003,"Živorojeni - moški",1357
"110","Podravska",2003,"Živorojeni - ženske",1271
"111","Podravska",2004,"Živorojeni - moški",1312
"112","Podravska",2004,"Živorojeni - ženske",1248
"113","Podravska",2005,"Živorojeni - moški",1367
"114","Podravska",2005,"Živorojeni - ženske",1323
"115","Podravska",2006,"Živorojeni - moški",1350
"116","Podravska",2006,"Živorojeni - ženske",1335
"117","Podravska",2007,"Živorojeni - moški",1364
"118","Podravska",2007,"Živorojeni - ženske",1302
"119","Podravska",2008,"Živorojeni - moški",1546
"120","Podravska",2008,"Živorojeni - ženske",1511
"121","Podravska",2009,"Živorojeni - moški",1544
"122","Podravska",2009,"Živorojeni - ženske",1485
"123","Podravska",2010,"Živorojeni - moški",1626
"124","Podravska",2010,"Živorojeni - ženske",1496
"125","Podravska",2011,"Živorojeni - moški",1524
"126","Podravska",2011,"Živorojeni - ženske",1487
"127","Podravska",2012,"Živorojeni - moški",1573
"128","Podravska",2012,"Živorojeni - ženske",1452
"129","Podravska",2013,"Živorojeni - moški",1519
"130","Podravska",2013,"Živorojeni - ženske",1405
"131","Podravska",2014,"Živorojeni - moški",1564
"132","Podravska",2014,"Živorojeni - ženske",1448
"133","Podravska",2015,"Živorojeni - moški",1514
"134","Podravska",2015,"Živorojeni - ženske",1402
"135","Podravska",2016,"Živorojeni - moški",1513
"136","Podravska",2016,"Živorojeni - ženske",1427
"137","Podravska",2017,"Živorojeni - moški",1504
"138","Podravska",2017,"Živorojeni - ženske",1372
"139","Koroška",1995,"Živorojeni - moški",360
"140","Koroška",1995,"Živorojeni - ženske",378
"141","Koroška",1996,"Živorojeni - moški",388
"142","Koroška",1996,"Živorojeni - ženske",341
"143","Koroška",1997,"Živorojeni - moški",345
"144","Koroška",1997,"Živorojeni - ženske",350
"145","Koroška",1998,"Živorojeni - moški",382
"146","Koroška",1998,"Živorojeni - ženske",365
"147","Koroška",1999,"Živorojeni - moški",321
"148","Koroška",1999,"Živorojeni - ženske",340
"149","Koroška",2000,"Živorojeni - moški",377
"150","Koroška",2000,"Živorojeni - ženske",358
"151","Koroška",2001,"Živorojeni - moški",323
"152","Koroška",2001,"Živorojeni - ženske",308
